Price,Brand,Processor Generation,Processor Type,Processor Speed,Installed RAM,SSD,Graphic Series,Screen Resolution,TouchScreen,Color,Weight,Finger Print Reader,Backlit keyboard,LAN
178000,Hp,14th Generation,Intel Core Ultra 7 155u Processor,1.7,8,512,Intel Integrated Graphics,1920x1200,No,Silver,1.39,Yes,No,No
184900,Hp,Intel Core Ultra 7,Intel® Core™ Ultra 7,1.7,16,1024,Intel Iris Xe Graphics,1920x1200,Yes,Silver,4.14,No,No,No
203999,Hp,13th Generation,Intel Core i3,1.2,4,256,Intel UHD Graphics,1920x1080,No,Silver,1.59,No,Yes,No
177999,Hp,12th Generation,Core i7,4.7,8,512,Intel Iris Xe Graphics,35.85x24.2x1.79,No,Unknown,1.7,No,Yes,Yes
157999,Hp,Ryzen 7,AMD Ryzen 7,4.5,8,512,Intel Iris Xe Graphics,35.98x23.6x1.86,No,Unknown,1.59,No,Yes,Yes
108900,Hp,12th Generation,Intel Core i5,2.5,16,512,RTX 3050,1920x1080,No,Silver,2.29,No,Yes,Yes
105999,Hp,Unknown,Intel Core i3,4.5,4,256,SSD,16:9,Yes,Unknown,1.67,No,No,Yes
344999,Hp,13th Generation,Intel Core i7,2.1,16,512,RTX 4060,1920x1080,No,Black,2.31,No,Yes,Yes
329900,Hp,13th Generation,Intel Core i9,2.2,16,1024,RTX 4060,1920x1080,No,Black,5.24,No,No,Yes
161999,Hp,13th Generation,Core i5,4.6,8,512,Intel Iris Xe Graphics,35.98x23.6x1.86,No,Unknown,1.59,No,Yes,Yes
177000,Hp,13th Generation,Intel Core i9,2.2,16,1024,RTX 4060,1920x1080,No,Black,5.24,No,No,Yes
159999,Hp,13th Generation,Intel Core i5,4.6,8,512,Intel Iris Xe Graphics,0,No,Unknown,1.59,No,Yes,Yes
108499,Hp,Unknown,Intel Core i3,3.3,4,256,Intel UHD Graphics,36x23.6x1.86,No,Unknown,1.52,No,No,Yes
649000,Hp,13th Generation,Intel Core i3,1.2,4,256,Intel UHD Graphics,1920x1080,No,Silver,1.59,No,Yes,No
117000,Hp,12th Generation,Intel Core i5,2.0,8,512,RTX 3050,1920x1080,No,Black,5.06,No,Yes,Yes
115000,Hp,13th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,No,Silver,1.52,No,Yes,No
108900,Hp,13th Generation,Intel Core i3,1.2,4,256,Intel UHD Graphics,1920x1080,No,Silver,1.59,No,Yes,No
143000,Hp,13th Generation,Intel Core i9,2.2,16,1024,RTX 4060,1920x1080,No,Black,5.24,No,No,Yes
294900,Hp,14th Generation,Intel® Core™ Ultra 5,1.3,8,512,Intel Integrated Graphics,1920x1200,No,Silver,1.74,Yes,Yes,Yes
144900,Hp,12th Generation,Intel Core i5,2.0,8,512,RTX 3050,1920x1080,No,Black,5.06,No,Yes,Yes
244900,Hp,13th Generation,Intel Core i7,1.7,8,512,Intel Iris Xe Graphics,1920x1080,No,Silver,1.52,Yes,Yes,No
219900,Hp,AMD,AMD Ryzen 5 ,3.3,8,512,AMD Radeon,1920x1080,No,Black,5.06,No,Yes,Yes
199900,Hp,12th Generation,Intel Core i7,1.7,8,512,Intel Iris Xe Graphics,1920x1080,No,Silver,1.74,No,Yes,Yes
199900,Hp,13th Generation,Intel Core i7,1.7,8,512,Intel Iris Xe Graphics,1920x1080,No,Silver,1.59,No,Yes,No
146500,Hp,Intel Core Ultra 5,Intel® Core™ Ultra 5,1.3,8,512,Intel Integrated Graphics,1920x1200,No,Silver,1.74,No,Yes,No
155000,Hp,Intel Core Ultra 7,Intel® Core™ Ultra 7,1.7,8,512,Intel Integrated Graphics,1920x1200,No,Silver,1.74,No,Yes,No
148000,Hp,14th Generation,Intel® Core™ Ultra 5,1.3,8,512,Intel Integrated Graphics,1920x1200,No,Silver,1.39,Yes,No,No
106900,Hp,13th Generation,Intel Core i9,2.2,16,1024,RTX 4060,1920x1080,No,Black,5.24,No,No,Yes
150000,Hp,AMD,AMD Ryzen 5 ,4.3,8,512,RTX 4050,1920x1080,No,Black,2.29,No,Yes,Yes
101900,Hp,12th Generation,Intel Core i5,2.0,8,512,RTX 3050,1920x1080,No,Black,5.06,No,Yes,Yes
100000,Hp,13th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,No,Silver,1.52,No,Yes,No
929000,Hp,13th Generation,Intel Core i3,1.2,4,256,Intel UHD Graphics,1920x1080,No,Silver,1.59,No,Yes,No
869000,Hp,13th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,No,Silver,1.59,No,Yes,No
849000,Hp,13th Generation,Intel Core i5,1.3,8,512,Intel Iris Xe Graphics,1920x1080,No,Silver,1.52,No,Yes,No
849000,Hp,13th Generation,Intel Core i5,1.3,8,512,Intel UHD Graphics,1920x1080,No,Silver,1.59,No,Yes,No
220999,Hp,13th Generation,Core i7,5.0,8,512,NVIDIA GeForce MX550 GDDR6,1920x1080,No,Unknown,1.59,No,Yes,No
699000,Hp,13th Generation,Intel Core i3,1.2,8,512,Intel UHD Graphics,1920x1080,No,Silver,1.52,No,Yes,No
108900,Hp,Intel Core Ultra 7,Intel® Core™ Ultra 7,1.7,16,512,Intel Integrated Graphics,1920x1200,No,Silver,1.74,Yes,Yes,No
107900,Hp,AMD,AMD Ryzen™ 5 ,2.3,8,512,AMD Radeon,1920x1080,No,Black,1.78,Yes,Yes,Yes
149999,Hp,13th Generation,Core i5,4.6,8,512,Intel Iris Xe Graphics,0,No,Unknown,1.59,No,Yes,Yes
150499,Hp,13th Generation,Intel Core i5,4.6,8,512,Intel Iris Xe Graphics,35.98x23.6x1.86,No,Unknown,1.59,No,Yes,Yes
459999,Hp, Ultra 7,Intel Core Ultra,4.8,16,1024,Intel ARC Graphics,14.05x9.67x0.78,No,Unknown,1.95,No,Yes,Yes
229999,Hp,13th Generation,Intel Core i5,4.6,8,512,SSD,16:9,Yes,Unknown,1.67,No,No,No
274999,Hp,13th Generation,Intel Core i7,4.6,16,1024,SSD,16:9,Yes,Unknown,1.67,No,No,No
179999,Hp,13th Generation,Core i5,4.6,8,512,Intel UHD Graphics,0,No,Unknown,1.78,No,No,Yes
229999,Hp,13th Generation,Core i7,3.7,8,512,Intel Iris Xe Graphics,0,No,Unknown,1.78,No,No,Yes
194999,Hp, Ultra 5,Intel Core Ultra,4.3,8,512,Intel Graphics,31.86x22.44x1.09,No,Unknown,1.39,No,No,Yes
229999,Hp, Ultra 7,Intel Core Ultra,4.8,8,512,Intel Graphics,31.86x22.44x1.09,No,Unknown,1.39,No,No,Yes
185999,Hp,13th Generation,Core i5,4.6,8,512,Intel UHD Graphics,14.14x9.2x0.78,No,Unknown,1.78,No,No,Yes
239999,Hp,13th Generation,Core i7,3.7,16,512,Intel UHD Graphics,14.14x9.2x0.78,No,Unknown,1.78,No,No,Yes
389999,Hp,13th Generation,Core i9,5.4,16,1024,NVIDIA GeForce RTX 4060,1920x1080,No,Unknown,2.3,No,Yes,Yes
279999,Hp,13th Generation,Core i7,3.7,8,512,NVIDIA GeForce RTX 2050,1920x1080,No,Unknown,1.78,No,Yes,Yes
249999,Hp,12th Generation,Core i7,4.7,8,512,SSD,16:9,Yes,Unknown,1.67,No,No,Yes
199999,Hp, Ultra 5,Intel Core Ultra,4.3,8,512,SSD,16:10,Yes,Unknown,1.67,No,No,Yes
234999,Hp, Ultra 7,Intel Core Ultra,4.8,8,512,Intel Graphics,35.94x25.11x1.09,No,Unknown,1.74,No,No,Yes
100000,Hp,13th Generation,Intel Core i7,5.0,16,512,Intel Iris Xe Graphics,29.8x22.04x1.69,No,Unknown,1.36,No,Yes,Yes
100000,Hp, Ultra 7,Intel Core Ultra,4.8,16,512,Unknown,12.35x8.68x0.67,No,Unknown,1.45,No,Yes,Yes
379999,Hp, Ultra 7,Intel Core Ultra,4.8,16,1024,Intel ARC Graphics,12.35x8.68x0.67,No,Unknown,1.45,No,Yes,Yes
451999,Hp, Ultra 7,Intel Core Ultra,4.8,32,2048,Unknown,12.35x8.68x0.67,No,Unknown,1.45,No,Yes,Yes
147999,Hp,13th Generation,Core i5,4.6,8,512,SSD,16:9,Yes,Unknown,1.67,No,No,Yes
230000,Hp,13th Generation,Core i7,3.7,8,512,Intel UHD Graphics,14.14x9.2x0.78,No,Unknown,1.78,No,No,Yes
250000,Hp,13th Generation,Intel Core i5,4.6,8,512,NVIDIA GeForce RTX 3050 GDDR6,1920x1080,No,Unknown,2.29,No,Yes,Yes
418999,Hp,14th Generation,Core i7,4.6,32,1024,NVIDIA GeForce RTX 4060,1920x1080,No,Unknown,1.67,No,Yes,No
584999,Hp,13th Generation,Core i9,5.4,16,1024,NVIDIA GeForce RTX 4060 GDDR6,2560x1600,Yes,Unknown,1.67,No,Yes,No
116999,Hp,Unknown,Intel Core i3,3.3,8,512,Intel UHD Graphics,36x23.6x1.86,No,Unknown,1.52,No,No,Yes
154999,Hp,Unknown,Intel Core i5,3.4,8,512,Intel Iris Xe Graphics,36x23.6x1.86,No,Unknown,1.52,No,No,Yes
184999,Hp,Unknown,Intel Core i7,3.7,8,512,Intel Iris Xe Graphics,36x23.6x1.86,No,Unknown,1.52,No,No,Yes
181999,Hp,12th Generation,Core i7,4.7,8,512,SSD,16:9,Yes,Unknown,1.67,No,No,Yes
204999,Hp,13th Generation,Core i5,4.6,8,512,SSD,0,Yes,Unknown,1.67,No,No,No
264999,Hp,13th Generation,Core i7,4.6,16,1024,SSD,0,Yes,Unknown,1.67,No,No,No
301999,Hp, Ultra 7,Core Ultra,4.8,8,512,SSD,16:10,Yes,Unknown,1.67,No,No,No
264999,Hp,13th Generation,Core i5,4.6,8,512,SSD,0,Yes,Unknown,1.67,No,No,Yes
339999,Hp,13th Generation,Core i7,5.0,16,1024,NVIDIA GeForce RTX 4060 GDDR6,2560x1600,Yes,Unknown,1.67,No,Yes,No
309999,Hp,13th Generation,Core i7,4.6,16,512,SSD,0,Yes,Unknown,1.67,No,No,No
189999,Hp,Unknown,Intel Core 5,5.0,8,512,Intel Graphics,0,No,Unknown,1.67,No,Yes,Yes
221999,Hp,Unknown,Intel Core 7,5.4,16,512,Intel UHD Graphics,0,No,Unknown,1.67,No,Yes,Yes
244999,Hp,Ryzen 7,AMD Ryzen 7,5.1,16,1024,AMD Radeon Graphics,0,No,Unknown,1.67,No,Yes,Yes
274999,Hp, Ultra 7,Core Ultra,4.8,16,1024,Intel Iris Xe Graphics,0,No,Unknown,1.67,No,Yes,Yes
285999,Hp, Ultra 7,Core Ultra,4.8,16,512,Intel Iris Xe Graphics,0,No,Unknown,1.67,No,Yes,Yes
204999,Hp, Ultra 5,Intel Core Ultra,1.3,16,512,Intel Integrated Graphics,0,Yes,Unknown,1.67,No,Yes,Yes
264999,Hp, Ultra 7,Core Ultra,4.8,16,1024,Intel Iris Xe Graphics,0,No,Unknown,1.67,No,Yes,Yes
272999,Hp,Ryzen 7,AMD Ryzen 7,5.1,16,1024,AMD Radeon Graphics,0,No,Unknown,1.67,No,Yes,Yes
324999,Hp, Ultra 7,Core Ultra,4.8,16,512,SSD,0,Yes,Unknown,1.67,No,No,No
329999,Hp,13th Generation,Intel Core i7,4.6,16,512,NVIDIA GeForece RTX 4060 GDDR6 GC,1920x1080,No,Unknown,2.29,No,Yes,Yes
219999,Hp,Ryzen 5,AMD Ryzen 5,4.5,8,512,SSD,0,Yes,Unknown,15.6,No,No,No
275000,Hp,13th Generation,Intel Core i9,2.2,16,1024,RTX 4060,1920x1080,No,Black,5.24,No,No,Yes
259999,Hp,12th Generation,Intel Core i5,2.5,16,512,RTX 3050,1920x1080,No,Silver,2.29,No,Yes,Yes
329900,Hp,12th Generation,Intel Core i5,2.0,8,512,RTX 3050,1920x1080,No,Black,5.06,No,Yes,Yes
196999,Hp,Ryzen 5,AMD Ryzen 5,4.5,16,512,Nvidia RTX 2050 GDDR6,1920x1080,No,Unknown,2.29,No,Yes,Yes
245000,Hp,AMD,AMD Ryzen 5 ,3.3,8,512,AMD Radeon,1920x1080,No,Black,5.06,No,Yes,Yes
141999,Hp,13th Generation,Core i5,4.6,8,512,Intel Iris Xe Graphics,35.98x23.6x1.86,No,Unknown,1.59,No,Yes,Yes
150000,Hp,13th Generation,Intel Core i9,2.2,16,1024,RTX 4060,1920x1080,No,Black,5.24,No,No,Yes
